NRScode,Station,Latitude,Longitude,SampleDateLocal,Year,Month,Day,Time_24hr,SampleDateUTC,Centric diatom,Ciliate,Cyanobacteria,Dinoflagellate,Flagellate,Foraminifera,Pennate diatom,Radiozoa,Silicoflagellate
NRSKAI20210202,Kangaroo Island,-35.83217,136.44733,2021-02-03T06:55:00Z,2021,2,3,06:55:00,2021-02-02T20:25:00Z,0,0,0,0,0,0,0,0,0
NRSNSI20201221,North Stradbroke,-27.345,153.562,2020-12-21T10:30:00Z,2020,12,21,10:30:00,2020-12-21T00:30:00Z,112860865.560096,4728915.2678953,807449.045192308,6332720.45769231,4698959.4017094,0,7167704.6474359,0,0
NRSROT20201127,Rottnest Island,-32,115.41667,2020-11-27T09:05:00Z,2020,11,27,09:05:00,2020-11-27T01:05:00Z,0,0,0,0,0,0,0,0,0
NRSDAR20201123,Darwin,-12.4,130.76805,2020-11-24T07:23:00Z,2020,11,24,07:23:00,2020-11-23T21:53:00Z,561363756.03039,35074351.708814,2540172.03859805,12383460.644299,0,743351.671103224,109189501.296362,0,0
NRSKAI20201123,Kangaroo Island,-35.83217,136.44733,2020-11-24T06:55:00Z,2020,11,24,06:55:00,2020-11-23T20:25:00Z,35683166.9168561,443749.5875,1142396.36363636,604040768.276894,12078461.5530303,0,3350238.21022727,0,0
NRSMAI20201118,Maria Island,-42.59667,148.23333,2020-11-19T09:45:00Z,2020,11,19,09:45:00,2020-11-18T22:45:00Z,9690455.24804687,1985173.99348958,0,2659879.53333333,67506785.1190476,0,335000,0,0
NRSNSI20201116,North Stradbroke,-27.345,153.562,2020-11-16T10:10:00Z,2020,11,16,10:10:00,2020-11-16T00:10:00Z,11239077.494875,49741.8416666667,3922000.225875,4156533.00933333,5661406.97916667,0,877294.2,0,0
NRSPHB20201110,Port Hacking,-34.11923,151.22667,2020-11-11T08:40:00Z,2020,11,11,08:40:00,2020-11-10T21:40:00Z,0,0,0,0,0,0,0,0,0
NRSROT20201106,Rottnest Island,-32,115.41667,2020-11-06T10:06:00Z,2020,11,6,10:06:00,2020-11-06T02:06:00Z,0,0,0,0,0,0,0,0,0
NRSYON20201026,Yongala,-19.30847,147.61842,2020-10-26T10:40:00Z,2020,10,26,10:40:00,2020-10-26T00:40:00Z,96879570.1557347,835529.255319149,1370476.86103723,10113858.8278369,3750412.31737589,0,1623136.90452128,0,0
NRSNSI20201022,North Stradbroke,-27.345,153.562,2020-10-22T10:05:00Z,2020,10,22,10:05:00,2020-10-22T00:05:00Z,0,0,0,0,0,0,0,0,0
NRSMAI20201020,Maria Island,-42.59667,148.23333,2020-10-21T10:10:00Z,2020,10,21,10:10:00,2020-10-20T23:10:00Z,4431278.14479167,5216592.74172222,0,3170073.74933333,147043865.277778,0,7e+06,0,0
NRSPHB20201013,Port Hacking,-34.11923,151.22667,2020-10-14T09:48:00Z,2020,10,14,09:48:00,2020-10-13T22:48:00Z,168833616.185455,10093086.1526818,0,2403987850.58255,29824280.0662879,0,1394090.90909091,0,0
NRSROT20201013,Rottnest Island,-32,115.41667,2020-10-13T09:18:00Z,2020,10,13,09:18:00,2020-10-13T01:18:00Z,2146202.01052632,3504715.7783443,0,2402627.40482456,10212599.0712074,0,11783617.5877193,0,0
NRSMAI20200928,Maria Island,-42.59667,148.23333,2020-09-29T09:00:00Z,2020,9,29,09:00:00,2020-09-28T23:00:00Z,2861623197.70003,23167408.2002315,0,65132022.3314921,25805917.8571429,0,52083333.3333333,0,0
NRSYON20200926,Yongala,-19.30847,147.61842,2020-09-26T12:33:00Z,2020,9,26,12:33:00,2020-09-26T02:33:00Z,39023679.1986147,7146341.29886168,64928892.2938144,5786544.28187285,3474911.61941581,0,654639.175257732,0,0
NRSPHB20200922,Port Hacking,-34.11923,151.22667,2020-09-23T09:19:00Z,2020,9,23,09:19:00,2020-09-22T23:19:00Z,506908246.010401,8373576.9839065,0,6157158.71907046,6640294.39724919,0,8000935.7819628,0,2392450.56683043
NRSDAR20200922_0630,Darwin,-12.4,130.76805,2020-09-22T16:00:00Z,2020,9,22,16:00:00,2020-09-22T06:30:00Z,0,0,0,0,0,0,0,0,0
NRSDAR20200922_0330,Darwin,-12.4,130.76805,2020-09-22T13:00:00Z,2020,9,22,13:00:00,2020-09-22T03:30:00Z,0,0,0,0,0,0,0,0,0
NRSDAR20200922_0030,Darwin,-12.4,130.76805,2020-09-22T10:00:00Z,2020,9,22,10:00:00,2020-09-22T00:30:00Z,0,0,0,0,0,0,0,0,0
NRSDAR20200921_2130,Darwin,-12.4,130.76805,2020-09-22T07:00:00Z,2020,9,22,07:00:00,2020-09-21T21:30:00Z,501204721.561842,2152953.67324561,421882.467631579,16063776.4042105,0,0,75958340.1910526,0,1291772.20394737
NRSNSI20200917,North Stradbroke,-27.345,153.562,2020-09-17T10:20:00Z,2020,9,17,10:20:00,2020-09-17T00:20:00Z,1910702287.15976,46879684.9740933,0,373301.195164076,3357269.10621762,0,4688082.9015544,0,0
NRSMAI20200909,Maria Island,-42.59667,148.23333,2020-09-10T09:00:00Z,2020,9,10,09:00:00,2020-09-09T23:00:00Z,169244626.597167,23057647.4451667,0,41940627.3573333,30564398.2104167,0,1197000,0,0
NRSYON20200904,Yongala,-19.30847,147.61842,2020-09-04T11:11:00Z,2020,9,4,11:11:00,2020-09-04T01:11:00Z,1293426964.14063,29104053.0731293,12658523.9923469,19791660.8106576,23875816.8579932,0,5499574.82993197,0,0
